Sensor_Id,Sensor_Name,Upper_Node,Bottom_Node,Index,Dist,QRush,QMax
69,F12_14_4,12,14,4,26.514,0.0044,0.0088
70,F12_14_5,12,14,5,33.143,0.0044,0.0088
71,F12_14_6,12,14,6,39.771,0.0044,0.0088
72,F14_17_1,14,17,1,5.167,0.0054,0.0108
73,F14_17_2,14,17,2,10.333,0.0054,0.0108
74,F14_17_3,14,17,3,15.5,0.0054,0.0108
75,F14_17_4,14,17,4,20.667,0.0054,0.0108
76,F14_17_5,14,17,5,25.833,0.0054,0.0108
77,F13_14_1,13,14,1,6.229,0.0008,0.0016
78,F13_14_2,13,14,2,12.457,0.0008,0.0016
79,F13_14_3,13,14,3,18.686,0.0008,0.0016
80,F13_14_4,13,14,4,24.914,0.0008,0.0016
81,F13_14_5,13,14,5,31.143,0.0008,0.0016
82,F13_14_6,13,14,6,37.371,0.0008,0.0016
83,F17_19_1,17,19,1,2.117,0.0059,0.0118
84,F17_19_2,17,19,2,4.233,0.0059,0.0118
85,F17_19_3,17,19,3,6.35,0.0059,0.0118
86,F17_19_4,17,19,4,8.467,0.0059,0.0118
87,F17_19_5,17,19,5,10.583,0.0059,0.0118
88,F15_16_1,15,16,1,6.45,0.0004,0.0008
89,F15_16_2,15,16,2,12.9,0.0004,0.0008
90,F15_16_3,15,16,3,19.35,0.0004,0.0008
91,F15_16_4,15,16,4,25.8,0.0004,0.0008
92,F15_16_5,15,16,5,32.25,0.0004,0.0008
93,F16_17_1,16,17,1,2.4,0.0005,0.001
94,F16_17_2,16,17,2,4.8,0.0005,0.001
95,F19_21_1,19,21,1,6.336,0.0072,0.0144
96,F19_21_2,19,21,2,12.671,0.0072,0.0144
97,F19_21_3,19,21,3,19.007,0.0072,0.0144
98,F19_21_4,19,21,4,25.343,0.0072,0.0144
99,F19_21_5,19,21,5,31.679,0.0072,0.0144
100,F19_21_6,19,21,6,38.014,0.0072,0.0144
101,F18_19_1,18,19,1,6.0,0.0006,0.0012
